id;nombre;descripcion;protocolo;guia;iso;objetivos
1;calculate;Chips;../data/blob/hipster.txt;Villages uniform PCI;Automotive Tactics architectures;../data/blob/hipster.txt
2;Wisconsin Facilitator Incredible;reinvent;../data/blob/hipster.txt;eco-centric Bedfordshire mesh;Configuration UIC-Franc;../data/blob/hipster.txt
3;Ergonomic Concrete Soap Zambian Kwacha;Concrete Bedfordshire;../data/blob/hipster.txt;portal calculating Metal;real-time discrete redundant;../data/blob/hipster.txt
4;Synergistic Personal Loan Account Sleek;Borders;../data/blob/hipster.txt;olive Handcrafted Cotton Bacon Unbranded Fresh Pants;incubate;../data/blob/hipster.txt
5;interfaces;Garden Dale Wallis and Futuna;../data/blob/hipster.txt;generating;Computers Small Fresh Gloves back-end;../data/blob/hipster.txt
6;interface;compress lavender Investment Account;../data/blob/hipster.txt;backing up;Iran;../data/blob/hipster.txt
7;Philippine Peso Metal;Strategist;../data/blob/hipster.txt;card Licensed Cotton Ball;mindshare Gorgeous;../data/blob/hipster.txt
8;Chips;navigating;../data/blob/hipster.txt;Som Rustic Frozen Keyboard ROI;Benin;../data/blob/hipster.txt
9;Tuna Response invoice;alarm Jamaica;../data/blob/hipster.txt;system Gorgeous Rubber Pants;hack;../data/blob/hipster.txt
10;leading-edge;Ergonomic Steel Gloves;../data/blob/hipster.txt;Developer Shoes Music;Buckinghamshire Hollow Shoes;../data/blob/hipster.txt
