id;fecha_inicio;fehca_fin;valor_minimo;valor_maximo;valor_final;valor_final_num;codigo_laboratorio;codigo_equipo
1;2019-07-12T12:15:48;2019-07-12T15:21:40;alarm;ADP Personal Loan Account;web-readiness;46194;Supervisor Outdoors sky blue;Factors primary
2;2019-07-12T07:17:25;2019-07-13T07:00:46;Licensed Steel Shirt Sleek Granite Tuna;AGP Coordinator;Practical killer Russian Federation;73227;Music;B2C systematic
3;2019-07-13T00:07:45;2019-07-12T14:04:03;Arizona;Automotive;Practical Wooden Shirt whiteboard Concrete;95641;neural Cloned Massachusetts;SCSI Communications Underpass
4;2019-07-12T16:31:08;2019-07-12T07:30:01;parse;Intuitive;quantifying Phased connecting;12033;Intelligent Cotton Bike;lavender
5;2019-07-12T12:31:51;2019-07-12T11:24:43;primary invoice;EXE;Personal Loan Account Chile foreground;51524;Buckinghamshire Liaison Forward;Pre-emptive Reduced
6;2019-07-12T18:21:12;2019-07-13T06:24:14;Customer SDD;AI didactic;Tunnel;4437;SCSI Jewelery monitoring;Russian Federation Gorgeous ROI
7;2019-07-12T22:17:46;2019-07-13T07:07:07;Saint Helena Pound;Borders;Integration;10946;Senior Facilitator Sleek Fresh Shoes;Virginia generating
8;2019-07-12T22:53:36;2019-07-12T15:21:00;Mayotte AGP circuit;optical deposit;Pizza Fish next-generation;23869;Quality Generic El Salvador Colon US Dollar;Salad
9;2019-07-12T10:06:00;2019-07-12T08:10:09;Burg SAS Music;one-to-one reboot Chair;Tennessee generate Adaptive;19313;Generic;Designer
10;2019-07-12T16:04:38;2019-07-13T04:27:37;expedite;Solomon Islands;Wooden radical Beauty;43224;copying benchmark Sausages;Licensed Directives Baht
